date,day_of_week,is_weekend,hour,shift,calls_received,calls_abandoned,calls_resolved,total_call_duration_min,avg_wait_time_min,base_lambda,abandon_rate,resolution_rate
2/6/2024,Tue,FALSE,16,Evening,51,5,40,208.4,2.2,49.03,0.098,0.784
2/6/2024,Tue,FALSE,17,Evening,41,4,30,165.7,4.28,40.38,0.098,0.732
2/6/2024,Tue,FALSE,18,Evening,37,2,27,130,2.34,31.72,0.054,0.73
2/6/2024,Tue,FALSE,19,Evening,38,4,29,168.1,3.39,25.96,0.105,0.763
2/6/2024,Tue,FALSE,20,Night,12,1,11,46.5,0.65,20.19,0.083,0.917
2/6/2024,Tue,FALSE,21,Night,16,0,14,62.4,0.05,17.3,0,0.875
2/6/2024,Tue,FALSE,22,Night,10,1,7,28.1,0.55,14.42,0.1,0.7
2/6/2024,Tue,FALSE,23,Night,11,2,8,52.9,0.41,11.54,0.182,0.727
2/7/2024,Wed,FALSE,0,Night,8,1,5,36.7,1.01,8.66,0.125,0.625
2/7/2024,Wed,FALSE,1,Night,8,0,7,16.9,0.81,5.77,0,0.875
2/7/2024,Wed,FALSE,2,Night,1,1,0,2.2,0.92,4.33,1,0
2/7/2024,Wed,FALSE,3,Night,2,0,1,31.5,0.5,3.46,0,0.5
2/7/2024,Wed,FALSE,4,Night,8,0,7,52.4,0.25,4.33,0,0.875
2/7/2024,Wed,FALSE,5,Night,5,2,2,13.4,1.02,8.66,0.4,0.4
2/7/2024,Wed,FALSE,6,Morning,18,1,15,49,1.55,20.2,0.056,0.833
2/7/2024,Wed,FALSE,7,Morning,30,4,23,113.1,1.05,31.75,0.133,0.767
2/7/2024,Wed,FALSE,8,Morning,44,1,36,163.7,0.44,43.29,0.023,0.818
2/7/2024,Wed,FALSE,9,Morning,58,5,45,218.9,1.83,51.95,0.086,0.776
2/7/2024,Wed,FALSE,10,Morning,70,5,53,292.7,0.34,60.61,0.071,0.757
2/7/2024,Wed,FALSE,11,Morning,63,5,52,245.9,1.25,57.73,0.079,0.825
2/7/2024,Wed,FALSE,12,Morning,40,4,34,195.2,2.21,46.18,0.1,0.85
2/7/2024,Wed,FALSE,13,Morning,63,6,51,324.5,1.6,49.07,0.095,0.81
2/7/2024,Wed,FALSE,14,Evening,48,5,40,191.4,2.97,57.73,0.104,0.833
2/7/2024,Wed,FALSE,15,Evening,71,6,57,347.2,8.65,54.84,0.085,0.803
2/7/2024,Wed,FALSE,16,Evening,56,1,52,283.9,1.45,49.07,0.018,0.929
2/7/2024,Wed,FALSE,17,Evening,43,4,34,185.5,1.56,40.41,0.093,0.791
2/7/2024,Wed,FALSE,18,Evening,30,1,26,89,0.72,31.75,0.033,0.867
2/7/2024,Wed,FALSE,19,Evening,18,0,16,131,1.56,25.98,0,0.889
2/7/2024,Wed,FALSE,20,Night,20,0,16,67.4,2.26,20.2,0,0.8
2/7/2024,Wed,FALSE,21,Night,12,0,10,81.5,1.43,17.32,0,0.833
2/7/2024,Wed,FALSE,22,Night,10,2,7,46,0.48,14.43,0.2,0.7
2/7/2024,Wed,FALSE,23,Night,13,2,11,36.1,0.26,11.55,0.154,0.846
2/8/2024,Thu,FALSE,0,Night,8,1,6,23.6,0.11,8.67,0.125,0.75
2/8/2024,Thu,FALSE,1,Night,4,0,4,23.5,0.39,5.78,0,1
2/8/2024,Thu,FALSE,2,Night,8,0,6,30.8,0.48,4.33,0,0.75
2/8/2024,Thu,FALSE,3,Night,3,0,3,20.9,1.12,3.47,0,1
2/8/2024,Thu,FALSE,4,Night,3,0,3,5.4,0.13,4.33,0,1
2/8/2024,Thu,FALSE,5,Night,10,2,8,30.7,0.66,8.67,0.2,0.8
2/8/2024,Thu,FALSE,6,Morning,36,1,31,152.5,0.29,20.22,0.028,0.861
2/8/2024,Thu,FALSE,7,Morning,18,2,16,53.4,6.78,31.78,0.111,0.889
2/8/2024,Thu,FALSE,8,Morning,39,5,27,183.4,2.73,43.33,0.128,0.692
2/8/2024,Thu,FALSE,9,Morning,51,6,41,220.3,3.08,52,0.118,0.804
2/8/2024,Thu,FALSE,10,Morning,55,2,42,273,2.38,60.66,0.036,0.764
2/8/2024,Thu,FALSE,11,Morning,66,5,51,284,6.36,57.77,0.076,0.773
2/8/2024,Thu,FALSE,12,Morning,52,6,41,254.1,6.08,46.22,0.115,0.788
2/8/2024,Thu,FALSE,13,Morning,56,2,50,267.3,4.22,49.11,0.036,0.893
2/8/2024,Thu,FALSE,14,Evening,49,3,40,195.5,1.76,57.77,0.061,0.816
2/8/2024,Thu,FALSE,15,Evening,63,4,48,319.5,1.35,54.88,0.063,0.762
2/8/2024,Thu,FALSE,16,Evening,43,8,30,146.7,0.49,49.11,0.186,0.698
2/8/2024,Thu,FALSE,17,Evening,54,8,38,267.3,9.27,40.44,0.148,0.704
2/8/2024,Thu,FALSE,18,Evening,36,2,30,151.6,0.21,31.78,0.056,0.833
2/8/2024,Thu,FALSE,19,Evening,38,4,33,154.2,0.39,26,0.105,0.868
2/8/2024,Thu,FALSE,20,Night,20,1,16,90.1,4.54,20.22,0.05,0.8
2/8/2024,Thu,FALSE,21,Night,17,3,12,76.5,0.68,17.33,0.176,0.706
2/8/2024,Thu,FALSE,22,Night,14,2,12,32.3,0.46,14.44,0.143,0.857
2/8/2024,Thu,FALSE,23,Night,7,0,6,33,0.6,11.55,0,0.857
2/9/2024,Fri,FALSE,0,Night,12,1,8,66,0.07,8.67,0.083,0.667
2/9/2024,Fri,FALSE,1,Night,6,1,5,42.9,0.61,5.78,0.167,0.833
2/9/2024,Fri,FALSE,2,Night,8,0,7,35,0.52,4.34,0,0.875
2/9/2024,Fri,FALSE,3,Night,2,0,2,5.4,0.21,3.47,0,1
2/9/2024,Fri,FALSE,4,Night,3,0,2,22.8,0.38,4.34,0,0.667
2/9/2024,Fri,FALSE,5,Night,5,0,4,15.8,0.3,8.67,0,0.8
2/9/2024,Fri,FALSE,6,Morning,24,2,18,132.3,0.12,20.24,0.083,0.75
2/9/2024,Fri,FALSE,7,Morning,34,5,27,160.7,0.53,31.8,0.147,0.794
2/9/2024,Fri,FALSE,8,Morning,48,1,41,257.9,1.56,43.37,0.021,0.854
2/9/2024,Fri,FALSE,9,Morning,54,3,42,315.7,0.21,52.04,0.056,0.778
2/9/2024,Fri,FALSE,10,Morning,62,6,46,269.9,0.71,60.71,0.097,0.742
2/9/2024,Fri,FALSE,11,Morning,54,8,41,249.8,5.37,57.82,0.148,0.759
2/9/2024,Fri,FALSE,12,Morning,51,6,40,199.1,8.31,46.26,0.118,0.784
2/9/2024,Fri,FALSE,13,Morning,34,3,29,159.9,4.42,49.15,0.088,0.853
2/9/2024,Fri,FALSE,14,Evening,66,7,54,319.3,0.43,57.82,0.106,0.818
2/9/2024,Fri,FALSE,15,Evening,70,4,59,325.2,7.32,54.93,0.057,0.843
2/9/2024,Fri,FALSE,16,Evening,59,4,50,300.4,6.03,49.15,0.068,0.847
2/9/2024,Fri,FALSE,17,Evening,50,5,35,235.5,0.04,40.47,0.1,0.7
2/9/2024,Fri,FALSE,18,Evening,26,3,20,129.8,8.12,31.8,0.115,0.769
2/9/2024,Fri,FALSE,19,Evening,24,1,19,65.1,1.46,26.02,0.042,0.792
2/9/2024,Fri,FALSE,20,Night,20,1,17,80,1.3,20.24,0.05,0.85
2/9/2024,Fri,FALSE,21,Night,16,2,11,83.8,0.65,17.35,0.125,0.688
2/9/2024,Fri,FALSE,22,Night,18,1,14,99.3,1.24,14.46,0.056,0.778
2/9/2024,Fri,FALSE,23,Night,6,1,5,31,0.87,11.56,0.167,0.833
2/10/2024,Sat,TRUE,0,Night,2,0,2,2.4,0.13,4.77,0,1
2/10/2024,Sat,TRUE,1,Night,3,1,2,7,0.33,3.18,0.333,0.667
2/10/2024,Sat,TRUE,2,Night,3,0,3,7.7,0.53,2.39,0,1
2/10/2024,Sat,TRUE,3,Night,1,1,0,3.3,0.05,1.91,1,0
2/10/2024,Sat,TRUE,4,Night,3,0,3,11.9,0.38,2.39,0,1
2/10/2024,Sat,TRUE,5,Night,5,0,3,25,0.13,4.77,0,0.6
2/10/2024,Sat,TRUE,6,Morning,11,0,9,65.6,4.18,11.14,0,0.818
2/10/2024,Sat,TRUE,7,Morning,18,1,16,65.8,0.24,17.5,0.056,0.889
2/10/2024,Sat,TRUE,8,Morning,26,1,22,124.7,0.66,23.87,0.038,0.846
2/10/2024,Sat,TRUE,9,Morning,22,0,16,132.1,1.3,28.64,0,0.727
2/10/2024,Sat,TRUE,10,Morning,35,1,29,152.3,23.48,33.42,0.029,0.829
2/10/2024,Sat,TRUE,11,Morning,35,3,23,162.4,0.11,31.83,0.086,0.657
2/10/2024,Sat,TRUE,12,Morning,30,3,26,138.7,3.13,25.46,0.1,0.867
2/10/2024,Sat,TRUE,13,Morning,34,1,29,166.6,0.76,27.05,0.029,0.853
2/10/2024,Sat,TRUE,14,Evening,24,1,20,87.7,8.69,31.83,0.042,0.833
2/10/2024,Sat,TRUE,15,Evening,25,2,22,120.9,14.81,30.24,0.08,0.88
2/10/2024,Sat,TRUE,16,Evening,26,2,20,100.4,2.33,27.05,0.077,0.769
2/10/2024,Sat,TRUE,17,Evening,30,3,24,129.8,3.69,22.28,0.1,0.8
2/10/2024,Sat,TRUE,18,Evening,19,1,17,69.1,2.9,17.5,0.053,0.895
2/10/2024,Sat,TRUE,19,Evening,11,0,9,35.1,3.01,14.32,0,0.818
2/10/2024,Sat,TRUE,20,Night,7,1,5,32.7,0.09,11.14,0.143,0.714
2/10/2024,Sat,TRUE,21,Night,8,0,8,54.9,1,9.55,0,1
2/10/2024,Sat,TRUE,22,Night,5,1,3,34.6,1.37,7.96,0.2,0.6
2/10/2024,Sat,TRUE,23,Night,4,0,4,12.9,0.28,6.37,0,1
2/11/2024,Sun,TRUE,0,Night,5,1,3,41.2,2.09,4.78,0.2,0.6
2/11/2024,Sun,TRUE,1,Night,6,0,5,15.1,0.64,3.19,0,0.833
2/11/2024,Sun,TRUE,2,Night,2,0,2,2.8,0.67,2.39,0,1
2/11/2024,Sun,TRUE,3,Night,2,0,2,4.3,0.23,1.91,0,1
2/11/2024,Sun,TRUE,4,Night,2,0,0,16.4,0.11,2.39,0,0
2/11/2024,Sun,TRUE,5,Night,5,1,4,45.3,0.04,4.78,0.2,0.8
2/11/2024,Sun,TRUE,6,Morning,13,2,9,55.8,1.81,11.15,0.154,0.692
2/11/2024,Sun,TRUE,7,Morning,18,4,12,110.2,2.45,17.52,0.222,0.667
2/11/2024,Sun,TRUE,8,Morning,25,1,22,113.5,4.74,23.89,0.04,0.88
2/11/2024,Sun,TRUE,9,Morning,16,1,13,49.4,10.12,28.67,0.062,0.812
2/11/2024,Sun,TRUE,10,Morning,34,1,30,120.3,1.31,33.44,0.029,0.882
2/11/2024,Sun,TRUE,11,Morning,39,3,35,203.9,0.33,31.85,0.077,0.897
2/11/2024,Sun,TRUE,12,Morning,41,5,30,179.9,5.39,25.48,0.122,0.732
2/11/2024,Sun,TRUE,13,Morning,33,1,29,130,2.43,27.07,0.03,0.879
2/11/2024,Sun,TRUE,14,Evening,33,7,22,120.8,2.41,31.85,0.212,0.667
2/11/2024,Sun,TRUE,15,Evening,35,2,31,114.2,3.59,30.26,0.057,0.886
2/11/2024,Sun,TRUE,16,Evening,31,4,24,163.6,8.38,27.07,0.129,0.774
2/11/2024,Sun,TRUE,17,Evening,27,3,23,150.1,1.48,22.3,0.111,0.852
2/11/2024,Sun,TRUE,18,Evening,17,1,16,62.2,1.61,17.52,0.059,0.941
2/11/2024,Sun,TRUE,19,Evening,11,1,9,39,0.04,14.33,0.091,0.818
2/11/2024,Sun,TRUE,20,Night,13,0,11,65.8,10.13,11.15,0,0.846
2/11/2024,Sun,TRUE,21,Night,11,3,8,41.7,1.5,9.56,0.273,0.727
2/11/2024,Sun,TRUE,22,Night,8,2,5,47.4,0.72,7.96,0.25,0.625
2/11/2024,Sun,TRUE,23,Night,9,0,9,26.5,0.14,6.37,0,1
2/12/2024,Mon,FALSE,0,Night,19,2,14,113.7,0.57,8.69,0.105,0.737
2/12/2024,Mon,FALSE,1,Night,9,2,6,33.7,0.09,5.8,0.222,0.667
2/12/2024,Mon,FALSE,2,Night,4,0,3,9.2,0.23,4.35,0,0.75
2/12/2024,Mon,FALSE,3,Night,3,1,2,6.9,0.26,3.48,0.333,0.667
2/12/2024,Mon,FALSE,4,Night,6,0,5,22.5,0.47,4.35,0,0.833
2/12/2024,Mon,FALSE,5,Night,12,2,10,54.9,0.99,8.69,0.167,0.833
2/12/2024,Mon,FALSE,6,Morning,24,1,21,82.2,0.19,20.29,0.042,0.875
2/12/2024,Mon,FALSE,7,Morning,34,4,25,164.3,0.25,31.88,0.118,0.735
2/12/2024,Mon,FALSE,8,Morning,45,4,33,180.5,5.01,43.47,0.089,0.733
2/12/2024,Mon,FALSE,9,Morning,45,0,37,214.6,2.81,52.16,0,0.822
2/12/2024,Mon,FALSE,10,Morning,66,7,52,324.9,2.87,60.86,0.106,0.788
2/12/2024,Mon,FALSE,11,Morning,51,10,37,232.5,4.14,57.96,0.196,0.725
2/12/2024,Mon,FALSE,12,Morning,50,6,36,213.9,0.29,46.37,0.12,0.72
2/12/2024,Mon,FALSE,13,Morning,53,1,48,282,1.97,49.27,0.019,0.906
2/12/2024,Mon,FALSE,14,Evening,60,7,41,236.5,1.24,57.96,0.117,0.683
2/12/2024,Mon,FALSE,15,Evening,55,5,46,213.8,0.64,55.06,0.091,0.836
2/12/2024,Mon,FALSE,16,Evening,51,8,35,187.5,4.52,49.27,0.157,0.686
2/12/2024,Mon,FALSE,17,Evening,44,3,35,213.2,2.12,40.57,0.068,0.795
2/12/2024,Mon,FALSE,18,Evening,39,3,33,199.9,3.21,31.88,0.077,0.846
2/12/2024,Mon,FALSE,19,Evening,24,1,19,104.1,0.12,26.08,0.042,0.792
2/12/2024,Mon,FALSE,20,Night,22,1,18,91.3,0.34,20.29,0.045,0.818
2/12/2024,Mon,FALSE,21,Night,19,2,15,78.4,1.31,17.39,0.105,0.789
2/12/2024,Mon,FALSE,22,Night,13,0,12,39.9,0.16,14.49,0,0.923
2/12/2024,Mon,FALSE,23,Night,10,0,8,63.1,0.98,11.59,0,0.8
2/13/2024,Tue,FALSE,0,Night,7,1,6,26.6,0.03,8.7,0.143,0.857
2/13/2024,Tue,FALSE,1,Night,3,0,3,9.2,0.18,5.8,0,1
2/13/2024,Tue,FALSE,2,Night,6,0,4,30.5,0.49,4.35,0,0.667
2/13/2024,Tue,FALSE,3,Night,7,0,5,34,0.02,3.48,0,0.714
2/13/2024,Tue,FALSE,4,Night,9,3,6,44.8,0.12,4.35,0.333,0.667
2/13/2024,Tue,FALSE,5,Night,8,3,5,23.5,0.64,8.7,0.375,0.625
2/13/2024,Tue,FALSE,6,Morning,15,1,12,60.6,1.77,20.3,0.067,0.8
2/13/2024,Tue,FALSE,7,Morning,32,1,25,169.2,0.88,31.9,0.031,0.781
2/13/2024,Tue,FALSE,8,Morning,38,1,34,196.8,8.83,43.51,0.026,0.895
2/13/2024,Tue,FALSE,9,Morning,52,1,43,271.3,1.41,52.21,0.019,0.827
2/13/2024,Tue,FALSE,10,Morning,62,4,45,238.4,5.7,60.91,0.065,0.726
2/13/2024,Tue,FALSE,11,Morning,61,2,53,262.2,1.84,58.01,0.033,0.869
2/13/2024,Tue,FALSE,12,Morning,44,3,35,164,6.14,46.41,0.068,0.795
2/13/2024,Tue,FALSE,13,Morning,46,4,39,172.3,3.48,49.31,0.087,0.848
2/13/2024,Tue,FALSE,14,Evening,57,2,49,180.9,2.17,58.01,0.035,0.86
2/13/2024,Tue,FALSE,15,Evening,51,3,42,223.7,0.18,55.11,0.059,0.824
2/13/2024,Tue,FALSE,16,Evening,45,2,39,223.5,3.76,49.31,0.044,0.867
2/13/2024,Tue,FALSE,17,Evening,34,5,27,180.1,1.02,40.6,0.147,0.794
2/13/2024,Tue,FALSE,18,Evening,33,0,27,148.2,1.68,31.9,0,0.818
2/13/2024,Tue,FALSE,19,Evening,27,1,22,137.1,6.93,26.1,0.037,0.815
2/13/2024,Tue,FALSE,20,Night,26,3,17,95.4,0.09,20.3,0.115,0.654
2/13/2024,Tue,FALSE,21,Night,18,2,14,37.5,2.45,17.4,0.111,0.778
2/13/2024,Tue,FALSE,22,Night,11,1,8,42.4,1.47,14.5,0.091,0.727
2/13/2024,Tue,FALSE,23,Night,10,0,9,35.3,0.59,11.6,0,0.9
2/14/2024,Wed,FALSE,0,Night,8,0,7,32,0.27,8.71,0,0.875
2/14/2024,Wed,FALSE,1,Night,7,1,4,17,0.17,5.81,0.143,0.571
2/14/2024,Wed,FALSE,2,Night,2,0,2,3.5,0.16,4.35,0,1
2/14/2024,Wed,FALSE,3,Night,3,0,2,14.5,0,3.48,0,0.667
2/14/2024,Wed,FALSE,4,Night,3,1,2,11.7,0.01,4.35,0.333,0.667
2/14/2024,Wed,FALSE,5,Night,5,0,4,54.9,0.46,8.71,0,0.8
2/14/2024,Wed,FALSE,6,Morning,27,2,22,167.7,3.21,20.32,0.074,0.815
2/14/2024,Wed,FALSE,7,Morning,36,4,30,136.8,5.01,31.93,0.111,0.833
2/14/2024,Wed,FALSE,8,Morning,48,5,34,238.9,1.18,43.54,0.104,0.708
2/14/2024,Wed,FALSE,9,Morning,48,5,38,250.7,0.86,52.25,0.104,0.792
2/14/2024,Wed,FALSE,10,Morning,67,4,57,292.9,6.91,60.96,0.06,0.851
2/14/2024,Wed,FALSE,11,Morning,58,8,43,224.3,7.11,58.05,0.138,0.741
2/14/2024,Wed,FALSE,12,Morning,51,5,43,244.2,0.87,46.44,0.098,0.843
2/14/2024,Wed,FALSE,13,Morning,46,5,35,209.4,1.44,49.35,0.109,0.761
2/14/2024,Wed,FALSE,14,Evening,59,4,46,248.9,10.33,58.05,0.068,0.78
2/14/2024,Wed,FALSE,15,Evening,67,5,57,275.8,0.91,55.15,0.075,0.851
2/14/2024,Wed,FALSE,16,Evening,60,6,46,305.7,0.7,49.35,0.1,0.767
2/14/2024,Wed,FALSE,17,Evening,39,1,33,186.4,8.16,40.64,0.026,0.846
2/14/2024,Wed,FALSE,18,Evening,35,1,31,155.6,6.07,31.93,0.029,0.886
2/14/2024,Wed,FALSE,19,Evening,26,2,21,96.6,5.2,26.12,0.077,0.808
2/14/2024,Wed,FALSE,20,Night,17,1,14,94.7,2.37,20.32,0.059,0.824
2/14/2024,Wed,FALSE,21,Night,18,1,12,61.7,1.21,17.42,0.056,0.667
2/14/2024,Wed,FALSE,22,Night,13,1,9,45.2,0.12,14.51,0.077,0.692
2/14/2024,Wed,FALSE,23,Night,9,2,7,40.5,1.6,11.61,0.222,0.778
2/15/2024,Thu,FALSE,0,Night,7,0,6,30.2,0.63,8.72,0,0.857
2/15/2024,Thu,FALSE,1,Night,4,1,3,16.1,0.16,5.81,0.25,0.75
2/15/2024,Thu,FALSE,2,Night,4,0,4,16.8,0.28,4.36,0,1
2/15/2024,Thu,FALSE,3,Night,4,0,4,13.7,0.25,3.49,0,1
2/15/2024,Thu,FALSE,4,Night,3,0,3,9.5,0.28,4.36,0,1
2/15/2024,Thu,FALSE,5,Night,7,0,7,21,0.09,8.72,0,1
2/15/2024,Thu,FALSE,6,Morning,25,1,22,106.4,1.42,20.34,0.04,0.88
2/15/2024,Thu,FALSE,7,Morning,43,0,35,183.4,0.34,31.96,0,0.814
2/15/2024,Thu,FALSE,8,Morning,43,2,34,176.4,0.37,43.58,0.047,0.791
2/15/2024,Thu,FALSE,9,Morning,58,4,50,344.5,2.86,52.29,0.069,0.862
2/15/2024,Thu,FALSE,10,Morning,54,0,44,207.7,4.99,61.01,0,0.815
2/15/2024,Thu,FALSE,11,Morning,55,2,47,327.2,0.48,58.1,0.036,0.855
2/15/2024,Thu,FALSE,12,Morning,41,2,36,203,11.28,46.48,0.049,0.878
2/15/2024,Thu,FALSE,13,Morning,46,4,38,185.3,4.33,49.39,0.087,0.826
2/15/2024,Thu,FALSE,14,Evening,61,8,47,296.3,3.27,58.1,0.131,0.77
2/15/2024,Thu,FALSE,15,Evening,60,6,42,283.4,1.56,55.2,0.1,0.7
2/15/2024,Thu,FALSE,16,Evening,47,6,34,213,0.61,49.39,0.128,0.723
2/15/2024,Thu,FALSE,17,Evening,36,1,30,179.9,1.4,40.67,0.028,0.833
2/15/2024,Thu,FALSE,18,Evening,30,3,25,117.3,4.78,31.96,0.1,0.833
2/15/2024,Thu,FALSE,19,Evening,28,1,23,92.3,2.47,26.15,0.036,0.821
2/15/2024,Thu,FALSE,20,Night,25,1,22,142.4,0.37,20.34,0.04,0.88
2/15/2024,Thu,FALSE,21,Night,10,0,9,38.8,1.63,17.43,0,0.9
2/15/2024,Thu,FALSE,22,Night,17,0,15,47.1,1.38,14.53,0,0.882
2/15/2024,Thu,FALSE,23,Night,10,3,7,41.4,0.25,11.62,0.3,0.7
2/16/2024,Fri,FALSE,0,Night,12,0,12,67.9,0.15,8.72,0,1
2/16/2024,Fri,FALSE,1,Night,4,0,3,11.4,0.32,5.81,0,0.75
2/16/2024,Fri,FALSE,2,Night,1,0,1,6.5,0.23,4.36,0,1
2/16/2024,Fri,FALSE,3,Night,2,0,1,7.1,0.01,3.49,0,0.5
2/16/2024,Fri,FALSE,4,Night,6,0,6,37,0.1,4.36,0,1
2/16/2024,Fri,FALSE,5,Night,5,1,2,28.3,0.11,8.72,0.2,0.4
2/16/2024,Fri,FALSE,6,Morning,20,1,17,115.1,1.2,20.35,0.05,0.85
2/16/2024,Fri,FALSE,7,Morning,26,3,19,120.3,5.02,31.98,0.115,0.731
2/16/2024,Fri,FALSE,8,Morning,48,3,36,200,0.49,43.61,0.062,0.75
2/16/2024,Fri,FALSE,9,Morning,54,3,43,217.2,5.14,52.33,0.056,0.796
2/16/2024,Fri,FALSE,10,Morning,54,6,41,196.9,0.99,61.05,0.111,0.759
2/16/2024,Fri,FALSE,11,Morning,60,2,50,283.5,0.53,58.15,0.033,0.833
2/16/2024,Fri,FALSE,12,Morning,47,6,37,223.5,2.68,46.52,0.128,0.787
2/16/2024,Fri,FALSE,13,Morning,55,6,42,276.2,1.27,49.42,0.109,0.764
2/16/2024,Fri,FALSE,14,Evening,60,3,45,274.6,0.51,58.15,0.05,0.75
2/16/2024,Fri,FALSE,15,Evening,60,2,49,263.7,1.26,55.24,0.033,0.817
2/16/2024,Fri,FALSE,16,Evening,72,3,57,337.3,3.91,49.42,0.042,0.792
2/16/2024,Fri,FALSE,17,Evening,26,2,22,109,0.86,40.7,0.077,0.846
2/16/2024,Fri,FALSE,18,Evening,31,4,25,206.6,0.17,31.98,0.129,0.806
2/16/2024,Fri,FALSE,19,Evening,27,2,22,127.8,3.85,26.17,0.074,0.815
2/16/2024,Fri,FALSE,20,Night,13,0,12,49.1,0.78,20.35,0,0.923
2/16/2024,Fri,FALSE,21,Night,16,2,10,74.9,1.14,17.44,0.125,0.625
2/16/2024,Fri,FALSE,22,Night,9,1,8,25,6.4,14.54,0.111,0.889
2/16/2024,Fri,FALSE,23,Night,8,2,5,58.5,1.65,11.63,0.25,0.625
2/17/2024,Sat,TRUE,0,Night,3,0,3,10.4,1.73,4.8,0,1
2/17/2024,Sat,TRUE,1,Night,0,0,0,0,0,3.2,0,0
2/17/2024,Sat,TRUE,2,Night,2,0,1,7.9,1.28,2.4,0,0.5
2/17/2024,Sat,TRUE,3,Night,2,0,2,2.7,0.1,1.92,0,1
2/17/2024,Sat,TRUE,4,Night,4,1,3,11,0.11,2.4,0.25,0.75
2/17/2024,Sat,TRUE,5,Night,6,0,6,31.8,0.1,4.8,0,1
2/17/2024,Sat,TRUE,6,Morning,11,3,4,47.9,3.9,11.2,0.273,0.364
2/17/2024,Sat,TRUE,7,Morning,18,0,16,49.9,2.03,17.6,0,0.889
2/17/2024,Sat,TRUE,8,Morning,27,4,19,158.9,3.64,24,0.148,0.704
2/17/2024,Sat,TRUE,9,Morning,33,2,29,153.3,1.07,28.81,0.061,0.879
2/17/2024,Sat,TRUE,10,Morning,30,4,24,115.8,2.46,33.61,0.133,0.8
2/17/2024,Sat,TRUE,11,Morning,28,2,22,145.7,9.79,32.01,0.071,0.786
2/17/2024,Sat,TRUE,12,Morning,23,2,19,128.7,3.3,25.61,0.087,0.826
2/17/2024,Sat,TRUE,13,Morning,23,2,18,96.2,1.4,27.21,0.087,0.783
2/17/2024,Sat,TRUE,14,Evening,32,5,24,177.8,1.09,32.01,0.156,0.75
2/17/2024,Sat,TRUE,15,Evening,41,0,37,198.9,0.79,30.41,0,0.902
2/17/2024,Sat,TRUE,16,Evening,29,2,24,128,0.66,27.21,0.069,0.828
2/17/2024,Sat,TRUE,17,Evening,25,5,19,83.4,6.18,22.4,0.2,0.76
2/17/2024,Sat,TRUE,18,Evening,12,1,10,60,7.66,17.6,0.083,0.833
2/17/2024,Sat,TRUE,19,Evening,13,0,11,27.8,3.04,14.4,0,0.846
2/17/2024,Sat,TRUE,20,Night,5,0,3,18.2,0.05,11.2,0,0.6
2/17/2024,Sat,TRUE,21,Night,10,1,7,43,0.05,9.6,0.1,0.7
2/17/2024,Sat,TRUE,22,Night,11,1,9,26.5,0.29,8,0.091,0.818
2/17/2024,Sat,TRUE,23,Night,4,0,4,17.2,0.51,6.4,0,1
2/18/2024,Sun,TRUE,0,Night,4,2,2,9.5,0.73,4.8,0.5,0.5
2/18/2024,Sun,TRUE,1,Night,3,0,3,10.3,1.21,3.2,0,1
2/18/2024,Sun,TRUE,2,Night,2,0,1,12,0.81,2.4,0,0.5
2/18/2024,Sun,TRUE,3,Night,3,0,3,10.1,0.53,1.92,0,1
2/18/2024,Sun,TRUE,4,Night,1,0,1,8.5,0.15,2.4,0,1
2/18/2024,Sun,TRUE,5,Night,2,0,2,6.8,0.03,4.8,0,1
2/18/2024,Sun,TRUE,6,Morning,6,1,4,30.7,4.39,11.21,0.167,0.667
2/18/2024,Sun,TRUE,7,Morning,13,2,9,52.4,0.27,17.62,0.154,0.692
2/18/2024,Sun,TRUE,8,Morning,23,1,21,87.5,5.03,24.02,0.043,0.913
2/18/2024,Sun,TRUE,9,Morning,27,0,23,110.8,7.99,28.83,0,0.852
2/18/2024,Sun,TRUE,10,Morning,45,3,36,183.4,17.52,33.63,0.067,0.8
2/18/2024,Sun,TRUE,11,Morning,37,3,30,134.3,5.71,32.03,0.081,0.811
2/18/2024,Sun,TRUE,12,Morning,28,3,24,135.2,3.36,25.63,0.107,0.857
2/18/2024,Sun,TRUE,13,Morning,19,2,13,97.1,1.54,27.23,0.105,0.684
2/18/2024,Sun,TRUE,14,Evening,30,3,20,144.5,3.75,32.03,0.1,0.667
2/18/2024,Sun,TRUE,15,Evening,22,0,20,146.3,1.1,30.43,0,0.909
2/18/2024,Sun,TRUE,16,Evening,24,4,18,127.9,6.68,27.23,0.167,0.75
2/18/2024,Sun,TRUE,17,Evening,20,2,16,73.9,0.06,22.42,0.1,0.8
2/18/2024,Sun,TRUE,18,Evening,18,2,13,132.1,7.42,17.62,0.111,0.722
2/18/2024,Sun,TRUE,19,Evening,15,1,9,40.2,0.39,14.41,0.067,0.6
2/18/2024,Sun,TRUE,20,Night,10,0,9,41,1.43,11.21,0,0.9
2/18/2024,Sun,TRUE,21,Night,9,2,6,19.9,0.7,9.61,0.222,0.667
2/18/2024,Sun,TRUE,22,Night,8,0,7,20.2,0.62,8.01,0,0.875
2/18/2024,Sun,TRUE,23,Night,5,0,3,28.6,0.92,6.41,0,0.6
2/19/2024,Mon,FALSE,0,Night,9,0,9,50.5,1.1,8.74,0,1
2/19/2024,Mon,FALSE,1,Night,7,2,5,44.2,0.13,5.83,0.286,0.714
2/19/2024,Mon,FALSE,2,Night,6,0,6,43.2,0.36,4.37,0,1
