property_id,city,area_sqft,bedrooms,bathrooms,total_rooms,year_built,age_years,overall_quality,location_score,floor,has_parking,has_gym,price_lakhs
P0350,Chennai,1672,3,2,5,1996,28,5,2.9,13,0,0,0.9
P0351,Mumbai,1987,5,4,9,1989,35,2,5.1,20,1,0,0.97
P0352,Delhi,2685,3,2,5,2018,6,4,9.2,9,1,0,2.5
P0353,Mumbai,2315,3,2,5,1985,39,8,1.9,15,1,1,1.57
P0354,Chennai,1704,2,2,4,2023,1,4,7.5,6,1,0,1.75
P0355,Bangalore,1789,3,2,5,2016,8,3,7.2,7,1,0,1.5
P0356,Chennai,1198,3,2,5,2010,14,6,1.9,9,1,0,1.02
P0357,Delhi,1789,2,1,3,2001,23,1,9.3,14,0,0,1.08
P0358,Chennai,1627,3,2,5,2011,13,3,6.1,7,1,0,1.16
P0359,Bangalore,1994,1,1,2,2008,16,8,4.3,12,1,0,1.65
P0360,Mumbai,1304,1,1,2,2019,5,7,7.8,11,1,0,1.98
P0361,Delhi,2112,2,1,3,2023,1,9,3.3,7,1,0,2.35
P0362,Bangalore,2720,1,1,2,2010,14,8,7.2,14,0,0,2.37
P0363,Bangalore,1735,2,1,3,2022,2,7,1.4,11,1,1,1.47
P0364,Mumbai,2041,3,2,5,2007,17,2,8.6,10,1,1,1.41
P0365,Chennai,2214,4,2,6,2006,18,8,5.0,18,1,0,1.73
P0366,Bangalore,1559,3,3,6,1988,36,8,6.7,13,1,0,1.4
P0367,Bangalore,1934,3,2,5,1993,31,8,3.0,17,1,1,1.43
P0368,Delhi,1808,3,3,6,1988,36,6,7.1,12,1,0,1.37
P0369,Bangalore,1859,5,3,8,1991,33,4,8.0,3,1,0,1.32
P0370,Mumbai,1336,3,3,6,2007,17,8,5.3,16,1,0,1.59
P0371,Mumbai,1815,2,1,3,1986,38,7,6.6,18,1,0,1.45
P0372,Chennai,2099,3,2,5,2008,16,10,5.1,8,1,0,2.25
P0373,Delhi,2671,2,1,3,2015,9,4,9.0,22,1,1,2.47
P0374,Delhi,2376,3,2,5,2015,9,4,5.5,6,0,1,1.67
P0375,Mumbai,3092,3,2,5,2018,6,4,8.6,0,0,0,2.77
P0376,Delhi,1340,4,3,7,2008,16,8,8.2,6,1,0,1.56
P0377,Mumbai,2323,3,2,5,2010,14,4,4.7,6,1,0,1.6
P0378,Delhi,1910,4,3,7,2000,24,2,3.1,19,1,0,0.87
P0379,Bangalore,3114,5,3,8,1997,27,10,4.7,6,1,0,3.22
P0380,Delhi,1315,2,1,3,1999,25,2,8.4,7,1,0,0.99
P0381,Hyderabad,1296,3,2,5,2011,13,8,3.0,15,0,1,1.47
P0382,Delhi,1440,3,2,5,1988,36,5,5.7,2,0,0,0.82
P0383,Delhi,526,3,2,5,2000,24,8,8.3,12,1,1,1.12
P0384,Bangalore,1485,3,2,5,2014,10,6,4.2,9,1,0,1.33
P0385,Mumbai,1345,4,3,7,2014,10,9,6.8,17,0,0,1.61
P0386,Hyderabad,1890,4,3,7,2020,4,9,3.2,6,1,0,2.07
P0387,Bangalore,2005,3,2,5,1987,37,1,2.0,20,1,0,0.71
P0388,Mumbai,2926,3,2,5,2006,18,3,8.1,20,0,1,1.97
P0389,Chennai,2370,4,2,6,2006,18,4,1.9,4,0,0,1.25
P0390,Mumbai,1454,5,3,8,1996,28,7,3.4,22,0,0,0.89
P0391,Hyderabad,1261,4,3,7,2005,19,8,8.7,24,1,0,1.64
P0392,Hyderabad,2095,1,1,2,1988,36,6,4.1,23,1,0,1.16
P0393,Bangalore,1008,3,3,6,2015,9,7,9.8,21,1,0,1.7
P0394,Mumbai,2899,2,1,3,2015,9,4,9.8,6,1,0,3.02
P0395,Mumbai,2508,3,2,5,2007,17,8,3.4,24,1,1,1.91
P0396,Delhi,1518,2,2,4,2004,20,9,1.4,21,0,1,1.26
P0397,Mumbai,772,3,2,5,1999,25,4,7.3,16,0,0,0.78
P0398,Bangalore,2612,3,2,5,2007,17,6,5.1,3,1,0,1.66
P0399,Hyderabad,1731,2,1,3,2012,12,3,1.9,23,1,0,1.0
P0400,Delhi,2543,3,2,5,2000,24,6,7.4,22,1,0,1.94
P0401,Bangalore,843,3,3,6,2021,3,6,1.3,15,0,1,0.84
P0402,Chennai,1440,3,2,5,2005,19,3,8.8,18,1,1,1.13
P0403,Hyderabad,1803,2,2,4,1999,25,6,2.2,9,0,0,0.95
P0404,Mumbai,1828,3,2,5,2001,23,5,2.1,2,1,0,1.07
P0405,Delhi,1530,4,3,7,2021,3,6,2.6,2,1,1,1.47
P0406,Chennai,2174,2,1,3,1997,27,6,9.6,16,0,1,1.88
P0407,Chennai,1159,2,1,3,2003,21,1,7.2,9,1,0,0.77
P0408,Hyderabad,1715,3,2,5,2014,10,7,8.2,16,1,0,2.06
P0409,Chennai,1872,5,3,8,2002,22,7,4.6,21,0,0,1.2
P0410,Mumbai,2109,3,2,5,1998,26,5,4.0,16,1,1,1.44
P0411,Bangalore,2227,3,3,6,2020,4,2,3.1,20,1,0,1.56
P0412,Mumbai,1125,3,2,5,2020,4,7,5.3,3,1,1,1.37
P0413,Bangalore,880,3,2,5,2004,20,9,6.0,20,1,0,1.13
P0414,Bangalore,2567,1,1,2,2003,21,4,6.7,22,0,0,1.73
P0415,Bangalore,1999,3,2,5,1991,33,5,3.3,5,0,0,1.0
P0416,Hyderabad,1351,4,2,6,1988,36,4,9.5,11,0,1,0.92
P0417,Chennai,2731,3,2,5,2018,6,6,2.5,24,1,0,1.86
P0418,Delhi,1869,4,4,8,1986,38,4,9.7,21,1,1,1.32
P0419,Mumbai,2508,4,3,7,1989,35,5,1.1,24,1,0,1.23
P0420,Hyderabad,1841,2,1,3,1994,30,7,5.3,19,0,1,1.31
P0421,Mumbai,3036,4,3,7,2016,8,6,4.0,16,1,1,2.52
P0422,Mumbai,2853,2,1,3,1997,27,5,5.0,16,0,0,1.65
P0423,Mumbai,1651,3,2,5,2023,1,6,6.1,9,0,1,1.66
P0424,Bangalore,2383,2,2,4,1989,35,6,4.9,6,1,0,1.53
P0425,Mumbai,2187,1,1,2,1994,30,1,4.7,15,1,0,0.91
P0426,Hyderabad,2621,3,2,5,1994,30,3,7.6,12,1,0,1.51
P0427,Hyderabad,1221,3,2,5,2022,2,8,7.2,2,0,1,2.08
P0428,Hyderabad,2212,3,2,5,2011,13,3,8.5,1,1,1,1.58
P0429,Mumbai,2435,3,2,5,2005,19,7,3.2,15,0,0,1.59
P0430,Hyderabad,745,1,1,2,1992,32,9,6.5,5,1,1,1.12
P0431,Hyderabad,1090,2,1,3,1985,39,5,6.3,5,0,0,0.57
P0432,Hyderabad,576,3,2,5,2012,12,5,4.3,12,1,1,0.78
P0433,Chennai,1638,3,2,5,2023,1,6,5.4,6,1,0,1.66
P0434,Chennai,2231,4,2,6,1998,26,8,3.8,4,0,0,1.47
P0435,Mumbai,2701,3,2,5,2005,19,9,2.3,23,0,0,2.29
P0436,Hyderabad,1844,4,2,6,2014,10,7,2.9,6,1,0,1.49
P0437,Mumbai,2777,3,2,5,2005,19,3,1.9,1,0,0,1.28
P0438,Delhi,972,3,2,5,1993,31,7,7.1,16,0,0,0.91
P0439,Hyderabad,778,3,2,5,2001,23,5,6.9,12,1,0,0.86
P0440,Delhi,1767,3,2,5,1989,35,6,9.6,24,1,1,1.4
P0441,Mumbai,2030,3,2,5,2015,9,2,7.6,20,0,0,1.34
P0442,Hyderabad,1780,4,3,7,2022,2,4,1.5,20,1,1,1.18
P0443,Hyderabad,560,3,2,5,2003,21,8,9.0,15,1,0,1.07
P0444,Mumbai,1747,4,2,6,2020,4,6,8.8,19,0,0,1.78
P0445,Hyderabad,1017,4,3,7,2017,7,5,5.0,1,1,0,1.11
P0446,Delhi,2202,4,3,7,1997,27,5,6.3,4,1,1,1.6
P0447,Delhi,2020,4,4,8,1998,26,8,9.8,17,0,1,2.15
P0448,Delhi,1236,3,2,5,2017,7,7,5.8,6,1,0,1.37
P0449,Mumbai,1492,3,3,6,2013,11,5,9.1,10,0,0,1.46
P0450,Delhi,1164,3,3,6,2020,4,3,1.7,24,0,0,0.91
P0451,Mumbai,1762,3,3,6,1994,30,4,2.7,24,1,0,1.07
P0452,Hyderabad,2373,3,2,5,2015,9,9,5.0,10,1,1,2.38
P0453,Bangalore,1209,4,3,7,1990,34,6,6.3,21,1,0,0.91
P0454,Hyderabad,2102,3,2,5,1985,39,6,8.3,16,1,0,1.65
P0455,Chennai,1482,3,2,5,1991,33,6,9.9,15,0,1,1.29
P0456,Mumbai,1324,2,1,3,2011,13,5,4.5,12,1,1,1.22
P0457,Hyderabad,1736,3,2,5,2005,19,8,1.4,21,1,0,1.28
P0458,Hyderabad,1179,2,1,3,2012,12,6,8.2,4,1,0,1.4
P0459,Delhi,1468,4,3,7,2000,24,3,6.4,19,1,0,1.01
P0460,Mumbai,1081,3,2,5,2007,17,3,2.8,15,1,0,0.76
P0461,Chennai,2979,2,1,3,2004,20,6,5.5,21,1,0,2.18
P0462,Chennai,1821,1,1,2,2022,2,9,7.7,21,1,1,2.49
P0463,Hyderabad,1380,3,2,5,2009,15,5,7.9,15,1,1,1.4
P0464,Mumbai,1928,3,3,6,2012,12,8,5.5,15,1,0,1.9
P0465,Mumbai,1733,3,2,5,1989,35,7,3.7,13,1,0,1.08
P0466,Bangalore,1667,2,1,3,2005,19,4,9.8,5,0,0,1.47
P0467,Bangalore,2169,3,3,6,2002,22,2,7.0,1,1,0,1.25
P0468,Mumbai,2255,3,2,5,1990,34,3,4.7,13,1,0,1.3
P0469,Delhi,1482,3,3,6,2013,11,7,3.5,15,1,0,1.18
P0470,Bangalore,1455,3,2,5,2003,21,4,7.6,22,1,0,1.03
P0471,Chennai,1635,3,2,5,2017,7,5,3.2,19,1,0,1.29
P0472,Delhi,500,2,1,3,1985,39,6,2.5,12,0,0,0.53
P0473,Bangalore,891,5,4,9,1987,37,7,5.8,14,1,0,0.81
P0474,Chennai,2620,3,2,5,2005,19,3,3.6,11,0,0,1.37
P0475,Hyderabad,2787,3,2,5,2019,5,5,6.7,8,1,0,2.27
P0476,Mumbai,1651,2,1,3,1987,37,6,2.1,17,1,0,1.06
P0477,Delhi,2146,3,2,5,2009,15,6,6.9,20,1,0,1.87
P0478,Hyderabad,1987,1,1,2,2022,2,8,3.5,13,1,0,1.82
P0479,Delhi,3647,3,3,6,2004,20,4,1.0,19,1,1,2.06
P0480,Chennai,2472,5,3,8,2018,6,8,2.1,24,1,0,2.36
P0481,Bangalore,1723,3,2,5,2005,19,7,9.4,3,1,0,1.8
P0482,Delhi,1227,1,1,2,2007,17,6,8.8,7,1,0,1.51
P0483,Bangalore,836,1,1,2,1990,34,7,3.1,7,1,0,0.88
P0484,Bangalore,1922,3,2,5,1997,27,5,8.0,21,1,1,1.52
P0485,Bangalore,1346,2,2,4,2007,17,3,6.5,21,1,1,1.06
P0486,Mumbai,947,1,1,2,1993,31,7,9.7,15,0,0,1.08
P0487,Hyderabad,1412,4,3,7,2001,23,6,4.4,23,0,0,1.02
P0488,Delhi,1151,3,2,5,1986,38,7,7.1,9,1,0,1.18
P0489,Bangalore,2812,3,3,6,2003,21,5,1.6,24,1,0,1.45
P0490,Hyderabad,2329,4,2,6,2003,21,9,4.6,20,1,0,2.11
P0491,Delhi,1795,2,1,3,1991,33,6,9.7,16,0,0,1.39
P0492,Chennai,2688,5,4,9,2004,20,3,5.9,0,1,0,1.37
P0493,Hyderabad,1846,3,2,5,1993,31,6,3.6,17,0,0,0.95
P0494,Delhi,1283,4,2,6,2001,23,7,2.1,9,1,1,1.04
P0495,Delhi,2714,3,3,6,2011,13,8,7.3,20,1,0,3.07
P0496,Hyderabad,2123,4,2,6,1986,38,6,6.8,3,1,0,1.47
P0497,Mumbai,1178,5,4,9,2020,4,8,4.4,0,1,0,1.34
P0498,Mumbai,1686,3,2,5,2003,21,4,9.6,3,0,0,1.39
P0499,Hyderabad,1275,5,3,8,2001,23,5,1.2,3,1,1,0.9
P0500,Chennai,970,3,2,5,1989,35,8,3.7,3,1,0,0.93
P0501,Hyderabad,2356,3,2,5,2023,1,8,9.3,16,1,1,3.34
P0502,Mumbai,2946,3,2,5,2002,22,7,3.9,8,1,0,2.47
P0503,Mumbai,961,3,2,5,1991,33,8,3.3,18,1,1,1.11
P0504,Mumbai,2138,2,1,3,2001,23,3,5.8,12,1,1,1.22
P0505,Chennai,1410,3,2,5,2023,1,8,8.4,3,1,0,2.0
P0506,Bangalore,1508,3,3,6,2020,4,5,1.9,4,1,0,1.16
P0507,Delhi,1445,4,2,6,1988,36,4,9.5,12,0,1,0.98
P0508,Mumbai,1282,4,3,7,2022,2,4,8.2,22,1,0,1.41
P0509,Bangalore,1829,3,2,5,2009,15,5,2.6,15,1,0,1.24
P0510,Bangalore,1301,3,2,5,1989,35,4,7.4,21,1,0,0.82
P0511,Mumbai,1962,3,2,5,2014,10,5,4.5,4,0,0,1.49
P0512,Hyderabad,1770,2,1,3,1996,28,3,4.6,7,1,0,0.91
P0513,Mumbai,1657,2,1,3,1988,36,5,8.0,15,1,0,1.29
P0514,Chennai,1255,3,2,5,2008,16,6,9.7,0,0,0,1.24
P0515,Hyderabad,1454,3,2,5,2013,11,6,2.1,22,1,0,1.08
P0516,Bangalore,2253,5,4,9,1993,31,5,4.8,5,0,1,1.19
P0517,Mumbai,2101,3,3,6,1988,36,7,5.3,10,1,0,1.41
P0518,Delhi,1213,3,2,5,2008,16,8,4.4,15,1,1,1.32
P0519,Hyderabad,1860,3,2,5,1998,26,7,4.3,4,0,1,1.35
P0520,Delhi,2251,2,2,4,1989,35,5,1.5,15,0,1,1.13
P0521,Chennai,798,3,3,6,2002,22,7,7.2,6,1,1,1.17
P0522,Hyderabad,2126,3,2,5,2003,21,4,4.9,18,0,1,1.24
P0523,Hyderabad,1402,3,2,5,1996,28,3,2.8,0,1,1,0.82
P0524,Bangalore,2142,3,2,5,2002,22,5,8.3,8,0,0,1.53
P0525,Chennai,1342,5,4,9,2001,23,8,8.2,17,1,0,1.49
P0526,Hyderabad,717,4,3,7,2014,10,4,5.4,12,1,1,0.9
P0527,Delhi,823,3,2,5,2008,16,2,3.7,14,0,0,0.65
P0528,Delhi,1829,3,2,5,1995,29,3,6.7,2,0,1,0.85
P0529,Mumbai,1956,3,2,5,2019,5,8,3.6,23,1,1,1.8
P0530,Mumbai,1257,2,2,4,2007,17,7,3.1,9,1,0,1.29
P0531,Hyderabad,2183,3,2,5,2001,23,4,7.6,8,1,1,1.55
P0532,Bangalore,803,1,1,2,1985,39,6,1.4,12,1,0,0.67
P0533,Hyderabad,1760,3,2,5,1999,25,6,1.9,15,1,0,1.03
P0534,Chennai,1073,3,2,5,2016,8,7,1.1,2,1,0,1.18
P0535,Chennai,1409,2,2,4,1993,31,4,2.4,21,1,0,0.75
P0536,Bangalore,1828,5,4,9,1999,25,8,1.6,22,0,0,1.23
P0537,Mumbai,1284,4,2,6,2012,12,5,10.0,14,1,0,1.48
P0538,Hyderabad,1569,4,3,7,2008,16,7,3.6,16,1,0,1.22
P0539,Delhi,2404,3,2,5,2019,5,1,2.3,13,1,1,1.16
P0540,Bangalore,1454,4,3,7,2006,18,5,3.2,6,1,0,1.11
P0541,Mumbai,2301,2,1,3,2011,13,5,9.4,19,1,0,2.28
P0542,Hyderabad,1122,4,3,7,2003,21,6,5.7,15,1,0,1.07
P0543,Hyderabad,2118,2,1,3,1996,28,3,4.3,20,0,1,0.94
P0544,Bangalore,2665,4,3,7,2004,20,8,8.9,7,0,1,3.01
P0545,Bangalore,500,3,2,5,1985,39,4,4.6,3,0,0,0.5
P0546,Chennai,1322,4,3,7,2005,19,7,4.0,19,0,0,1.11
P0547,Delhi,2146,5,3,8,1985,39,8,2.9,23,0,1,1.3
P0548,Mumbai,1678,2,1,3,1994,30,6,4.4,14,0,0,0.98
P0549,Chennai,2023,3,2,5,2016,8,7,3.9,4,1,0,1.89
P0550,Mumbai,1438,5,4,9,2023,1,7,7.1,12,1,0,1.96
P0551,Delhi,1852,3,2,5,2006,18,5,3.6,5,1,0,1.24
P0552,Bangalore,1707,4,3,7,2002,22,8,6.2,4,1,1,1.79
P0553,Delhi,2501,3,2,5,2016,8,5,1.6,16,1,0,1.78
P0554,Mumbai,1953,3,3,6,2011,13,6,2.7,6,1,0,1.57
P0555,Delhi,2003,3,2,5,2012,12,7,4.7,5,0,0,1.41
P0556,Delhi,1553,2,1,3,2002,22,5,9.4,1,1,1,1.34
P0557,Bangalore,1507,4,3,7,2023,1,5,4.4,10,1,1,1.57
P0558,Chennai,1540,3,2,5,2013,11,6,7.0,6,0,1,1.36
P0559,Hyderabad,2037,3,2,5,2002,22,8,3.3,21,1,0,1.45
P0560,Mumbai,1547,3,2,5,1992,32,9,2.1,20,1,0,1.28
P0561,Hyderabad,1974,3,2,5,2015,9,6,1.5,7,1,1,1.36
P0562,Delhi,3045,4,3,7,2018,6,7,3.7,4,0,0,2.41
P0563,Bangalore,2323,5,4,9,1991,33,9,2.4,17,1,1,1.86
P0564,Bangalore,1604,3,2,5,2020,4,3,2.6,21,1,0,0.96
P0565,Bangalore,2521,4,3,7,2002,22,4,7.8,15,1,0,1.59
P0566,Chennai,1555,4,3,7,2022,2,7,1.1,13,1,0,1.19
P0567,Delhi,577,3,2,5,1993,31,8,6.0,11,1,1,0.92
P0568,Delhi,1195,5,3,8,1993,31,8,4.4,16,0,1,1.06
P0569,Hyderabad,678,2,1,3,1992,32,5,5.6,4,0,0,0.62
P0570,Mumbai,1589,2,1,3,2019,5,3,6.1,13,0,0,1.35
P0571,Mumbai,1811,4,3,7,2002,22,6,3.8,5,0,1,1.33
P0572,Mumbai,2806,3,2,5,1989,35,4,3.7,14,1,0,1.44
P0573,Mumbai,1996,4,3,7,1998,26,5,7.6,6,0,1,1.62
P0574,Bangalore,1669,4,2,6,2012,12,7,8.8,13,1,0,1.71
P0575,Bangalore,2298,2,1,3,2014,10,3,2.7,17,0,0,1.3
P0576,Delhi,500,4,3,7,1988,36,8,1.9,0,1,0,0.68
P0577,Mumbai,1941,3,2,5,2023,1,6,9.1,5,1,0,2.27
P0578,Chennai,2263,3,2,5,2004,20,6,4.1,2,1,0,1.63
P0579,Chennai,913,3,2,5,2009,15,3,6.0,4,1,0,0.8
P0580,Hyderabad,2486,5,3,8,2012,12,5,4.2,11,1,0,1.77
P0581,Hyderabad,2003,1,1,2,1996,28,3,2.1,10,0,0,0.82
P0582,Hyderabad,1551,3,3,6,1986,38,9,6.3,12,1,0,1.38
P0583,Chennai,2180,3,2,5,1998,26,8,5.7,15,1,1,1.81
P0584,Bangalore,3162,4,2,6,2006,18,6,2.8,17,0,0,2.14
P0585,Mumbai,1909,3,2,5,2015,9,4,5.1,16,1,0,1.25
P0586,Bangalore,1949,2,1,3,2007,17,9,8.2,16,0,0,2.17
P0587,Mumbai,1524,3,2,5,2004,20,5,6.3,10,1,0,1.1
P0588,Hyderabad,1290,3,2,5,2022,2,4,1.9,19,0,1,0.91
P0589,Bangalore,2298,4,3,7,1988,36,6,5.9,9,1,0,1.53
P0590,Chennai,1286,3,2,5,1999,25,9,7.3,15,1,1,1.33
P0591,Mumbai,1843,2,1,3,2008,16,1,8.1,1,1,0,1.22
P0592,Bangalore,1513,5,3,8,2009,15,4,6.7,16,1,0,1.09
P0593,Delhi,2087,1,1,2,1985,39,9,2.4,21,0,0,1.17
P0594,Delhi,2000,5,3,8,1991,33,4,7.4,19,1,1,1.22
P0595,Delhi,2423,3,2,5,2015,9,3,7.1,9,1,1,1.71
P0596,Mumbai,1494,4,2,6,1996,28,6,1.2,12,1,0,0.84
P0597,Delhi,1638,3,2,5,1989,35,8,4.7,11,0,1,1.44
P0598,Bangalore,1213,1,1,2,2022,2,6,4.0,14,1,0,1.28
P0599,Hyderabad,1533,4,2,6,1996,28,10,7.0,6,0,1,1.47
P0600,Delhi,2026,4,4,8,2023,1,7,2.9,21,1,0,1.8
P0601,Delhi,2254,4,4,8,2002,22,3,6.3,20,1,0,1.38
P0602,Hyderabad,1247,2,2,4,1986,38,10,9.2,12,1,0,1.45
P0603,Bangalore,2322,4,3,7,1994,30,5,8.2,11,0,1,1.43
P0604,Bangalore,2613,4,3,7,1999,25,5,9.3,11,0,1,1.85
P0605,Bangalore,2048,3,3,6,2014,10,6,9.8,1,1,1,2.57
P0606,Chennai,2926,4,2,6,2001,23,5,1.1,4,1,1,1.47
P0607,Delhi,1336,4,3,7,1988,36,3,6.6,24,0,0,0.63
P0608,Delhi,1053,3,2,5,1991,33,1,4.7,24,1,1,0.6
P0609,Chennai,733,2,1,3,2015,9,6,8.7,1,1,1,1.1
P0610,Mumbai,2698,3,2,5,2023,1,8,3.3,22,1,0,2.6
P0611,Hyderabad,2193,2,1,3,2018,6,6,9.8,19,1,0,2.17
P0612,Delhi,1767,3,2,5,1990,34,10,6.5,12,1,0,1.57
P0613,Bangalore,1968,3,3,6,2022,2,5,8.1,2,1,1,2.12
P0614,Chennai,1125,2,1,3,2018,6,5,1.8,10,1,1,1.04
P0615,Delhi,3267,3,3,6,1999,25,4,2.7,15,0,1,1.62
P0616,Hyderabad,1878,2,2,4,1998,26,4,7.8,0,1,1,1.35
P0617,Hyderabad,1866,4,3,7,1990,34,5,1.2,18,0,1,0.81
P0618,Bangalore,2235,5,4,9,2021,3,8,8.4,10,1,1,3.09
P0619,Hyderabad,2089,2,2,4,2016,8,9,1.1,8,0,1,1.58
P0620,Mumbai,1934,5,3,8,1987,37,10,6.9,13,1,0,1.91
P0621,Hyderabad,1326,3,2,5,1987,37,4,4.3,8,0,0,0.7
P0622,Delhi,2083,3,2,5,2006,18,8,6.5,6,1,0,2.45
P0623,Delhi,2929,2,2,4,2006,18,5,7.3,15,0,1,1.95
P0624,Mumbai,2607,3,3,6,1994,30,3,4.1,2,1,0,1.65
P0625,Delhi,2756,4,2,6,1987,37,8,2.0,18,1,0,1.8
P0626,Mumbai,1493,4,2,6,1996,28,7,1.6,3,0,0,1.11
P0627,Hyderabad,1206,2,2,4,2013,11,4,6.3,6,1,0,1.17
P0628,Hyderabad,1725,2,1,3,2001,23,6,5.7,22,1,0,1.22
P0629,Mumbai,1833,3,3,6,1991,33,5,7.7,11,0,0,1.26
P0630,Mumbai,2457,3,2,5,1997,27,7,5.6,17,1,0,1.83
P0631,Hyderabad,785,2,1,3,1986,38,6,4.8,4,1,0,0.72
P0632,Delhi,2718,3,3,6,1988,36,10,4.6,22,0,0,1.86
P0633,Mumbai,1705,4,3,7,1994,30,2,1.2,22,1,0,0.7
P0634,Bangalore,1544,5,4,9,2023,1,5,4.0,21,0,0,1.34
P0635,Delhi,1193,3,2,5,2008,16,6,9.8,9,1,0,1.52
P0636,Mumbai,807,4,3,7,2001,23,6,8.9,11,0,0,1.12
P0637,Chennai,2294,3,2,5,1990,34,5,4.0,7,1,0,1.09
P0638,Bangalore,1844,3,2,5,2003,21,7,6.3,18,0,1,1.34
P0639,Mumbai,1026,2,2,4,1989,35,8,8.6,14,1,0,1.36
P0640,Hyderabad,1023,3,2,5,2016,8,9,5.0,0,1,0,1.59
P0641,Bangalore,1599,5,3,8,1994,30,8,1.2,2,1,0,1.12
P0642,Delhi,2801,3,2,5,1993,31,8,1.7,17,1,0,1.89
P0643,Mumbai,1644,3,2,5,2011,13,6,5.6,17,0,0,1.47
P0644,Mumbai,898,3,2,5,1997,27,8,9.7,1,0,0,1.26
P0645,Delhi,1653,2,2,4,2003,21,5,7.2,4,1,0,1.4
P0646,Mumbai,1636,4,2,6,2005,19,5,1.6,0,0,0,1.03
P0647,Delhi,500,3,2,5,2008,16,5,2.7,9,1,0,0.71
P0648,Mumbai,1767,3,2,5,2022,2,6,7.9,19,1,1,2.11
P0649,Bangalore,1661,3,2,5,1988,36,5,8.6,9,1,0,1.24
P0650,Chennai,2218,3,2,5,2008,16,9,6.6,4,1,1,2.93
P0651,Bangalore,2909,2,1,3,2019,5,5,6.8,17,1,0,2.45
P0652,Chennai,2476,3,2,5,1987,37,3,1.3,20,0,0,0.82
P0653,Hyderabad,1639,2,2,4,1988,36,6,8.5,14,1,0,1.09
P0654,Bangalore,1136,4,2,6,2021,3,2,8.1,19,0,1,1.1
P0655,Delhi,3344,4,3,7,2019,5,3,3.3,7,1,0,2.15
P0656,Delhi,1836,4,3,7,2015,9,4,7.4,16,0,0,1.26
P0657,Hyderabad,1808,3,2,5,2009,15,6,2.9,11,1,0,1.3
P0658,Mumbai,1786,3,3,6,1997,27,6,1.4,20,1,0,1.24
P0659,Delhi,1919,2,1,3,1988,36,8,2.8,11,1,1,1.32
P0660,Bangalore,1713,4,3,7,1998,26,7,2.6,0,0,0,1.06
P0661,Chennai,1456,3,2,5,1997,27,6,4.0,3,1,0,1.15
P0662,Chennai,1472,3,2,5,2011,13,5,4.8,7,0,0,1.06
P0663,Delhi,1780,3,2,5,1990,34,5,5.6,0,1,0,1.01
P0664,Mumbai,1474,2,1,3,2001,23,7,5.3,14,0,0,1.29
P0665,Hyderabad,1372,3,2,5,2020,4,2,3.4,17,1,0,1.02
P0666,Mumbai,1864,2,1,3,2019,5,1,1.3,0,1,0,0.97
P0667,Mumbai,1647,4,3,7,2001,23,8,6.4,10,1,1,1.77
P0668,Bangalore,2702,3,2,5,1986,38,6,4.6,22,1,0,1.42
P0669,Chennai,500,1,1,2,1997,27,3,3.7,1,1,1,0.54
P0670,Chennai,2455,3,2,5,1986,38,4,8.8,0,0,0,1.28
P0671,Hyderabad,2548,1,1,2,2012,12,9,7.7,11,0,0,2.68
P0672,Mumbai,556,3,2,5,2010,14,8,8.7,15,0,0,1.15
P0673,Delhi,1594,4,3,7,2006,18,7,5.5,21,1,1,1.51
P0674,Delhi,1577,2,1,3,1987,37,6,2.2,21,1,0,0.9
P0675,Hyderabad,955,4,3,7,2019,5,6,7.3,9,1,0,1.2
P0676,Bangalore,1333,1,1,2,1996,28,10,2.9,17,1,0,1.27
P0677,Mumbai,1134,2,1,3,2008,16,9,5.0,14,0,1,1.56
P0678,Chennai,2851,4,2,6,1989,35,4,1.6,16,1,0,1.17
P0679,Delhi,2361,3,2,5,2004,20,8,8.4,9,0,0,2.05
P0680,Bangalore,2563,2,1,3,2023,1,4,2.1,2,1,0,2.06
P0681,Hyderabad,2233,3,3,6,2023,1,4,9.1,20,0,1,2.08
P0682,Delhi,1123,3,2,5,1997,27,7,8.8,15,1,1,1.29
P0683,Mumbai,1485,4,2,6,1996,28,5,5.2,5,0,0,1.03
P0684,Delhi,2094,3,2,5,1997,27,9,7.7,2,1,0,2.15
P0685,Delhi,1067,4,2,6,1994,30,3,6.6,8,0,1,0.73
P0686,Mumbai,2228,4,3,7,2017,7,6,8.2,10,0,1,2.25
P0687,Chennai,1656,3,2,5,2000,24,9,4.9,20,1,0,1.5
P0688,Mumbai,1575,4,3,7,2019,5,9,8.1,12,1,1,2.7
P0689,Hyderabad,2227,3,2,5,1987,37,4,5.2,17,1,0,1.2
P0690,Mumbai,2067,5,4,9,1989,35,5,9.5,21,1,0,1.31
P0691,Delhi,1583,2,2,4,2010,14,7,5.4,23,1,1,1.89
P0692,Delhi,2496,3,3,6,1995,29,4,5.2,21,1,0,1.4
P0693,Chennai,1151,3,2,5,1991,33,9,8.1,3,1,1,1.61
P0694,Delhi,2170,3,2,5,1994,30,9,8.4,21,0,0,2.08
P0695,Chennai,2156,3,2,5,2018,6,4,6.0,23,1,0,1.68
P0696,Chennai,1614,4,2,6,1987,37,3,2.6,7,1,1,0.75
P0697,Hyderabad,1996,1,1,2,1992,32,3,5.2,12,0,0,1.14
P0698,Chennai,1049,2,2,4,2015,9,9,9.7,9,0,0,1.62
P0699,Mumbai,2354,4,3,7,1995,29,4,7.8,1,1,1,1.6
